简历编号,姓名,性别,年龄,电话,邮箱,意向岗位,学历层次,院校类别,专业类别,英语水平,编程语言,编程语言熟练度,前端技术,前端技术熟练度,后端技术,后端技术熟练度,数据库,数据库熟练度,云计算/运维,云计算/运维熟练度,数据与算法,数据与算法熟练度,移动开发,移动开发熟练度,测试工具,测试工具熟练度,小型企业工作经验,中型企业工作经验,大型企业工作经验,小规模项目,中规模项目,大规模项目,筛选结果
158,郭杨,男,23,13501594463,xiulanluo3@outlook.com,算法工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","掌握,熟练,熟练,了解,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TensorFlow/PyTorch,熟练,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,15,0,0,不通过
159,凌瑞,男,35,18233556434,taomo6@outlook.com,云计算工程师,本科,普通高校,计算机类,英语四级,"Java,JavaScript","精通,熟练",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Terraform","熟练,熟练,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,通过
160,史军,男,31,13230391114,qiangqiu8@gmail.com,测试工程师,本科,普通高校,计算机类,英语六级,"Python,JavaScript,SQL,Go","掌握,掌握,掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JMeter,Postman","掌握,掌握,掌握",NULL,3―5年,3―5年,1,3,2,不通过
161,孙玉兰,女,22,18964862872,yangfeng@qq.com,数据工程师,本科,普通高校,非计算机类,英语四级,"Python,Java,JavaScript,SQL","熟练,了解,熟练,掌握",NULL,NULL,NULL,NULL,"MySQL,MongoDB,Redis","熟练,熟练,熟练",NULL,NULL,Hadoop/Spark,掌握,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
162,张强,男,34,13412840083,yangxu5076@163.com,云计算工程师,硕士及以上,985高校,计算机类,英语六级,"Python,Java,JavaScript,SQL","掌握,掌握,了解,掌握",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Ansible,Terraform","精通,熟练,掌握,了解,精通",NULL,NULL,NULL,NULL,NULL,NULL,5年以上,5年以上,NULL,6,5,0,通过
163,刘帆,男,33,17649885582,pingluo8493@qq.com,运维工程师,本科,普通高校,非计算机类,英语四级,"Python,Java,SQL,Go","熟练,熟练,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,"Docker/Kubernetes,Linux,Ansible","熟练,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,5年以上,5年以上,3―5年,11,6,0,通过
164,高东,男,23,15300720245,taoxiang91@gmail.com,算法工程师,本科,普通高校,非计算机类,英语四级,"Python,Java,Go","熟练,精通,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","精通,熟练,掌握,掌握",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,15,0,0,通过
165,惠建,男,21,13321722145,fangding93@hotmail.com,数据分析师,专科,普通高校,计算机类,无,"Python,JavaScript,SQL","精通,掌握,掌握",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB","熟练,掌握,掌握",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Tableau/Power BI/FineBI","熟练,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
166,刘帅,男,40,18984870450,juanyuan917@yahoo.com,算法工程师,专科,普通高校,计算机类,无,Java,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Tableau/Power BI/FineBI","掌握,熟练,熟练",NULL,NULL,NULL,NULL,5年以上,NULL,NULL,0,1,0,通过
167,杜兵,男,31,13810314217,gangliao18@yahoo.com,前端开发工程师,本科,普通高校,非计算机类,英语四级,"Python,Java,JavaScript,Go","熟练,熟练,熟练,掌握","HTML/CSS,React/Vue","熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,3―5年,NULL,6,5,1,通过
168,黄林,男,23,13057121988,lihuang@outlook.com,后端开发工程师,本科,普通高校,计算机类,英语四级,"Python,JavaScript,Go","精通,熟练,掌握",NULL,NULL,"Spring Boot,Django/Flask","精通,掌握","MySQL,MongoDB","精通,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,0,0,0,通过
169,牛琳,女,34,13544881898,pinglong84@gmail.com,测试工程师,本科,211高校,非计算机类,英语六级,"Java,SQL","熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JMeter","精通,熟练",NULL,3―5年,3―5年,3,1,0,通过
170,李秀梅,女,23,15591649701,lihuang934@hotmail.com,全栈开发工程师,本科,211高校,计算机类,英语六级,"Python,JavaScript","掌握,精通","HTML/CSS,React/Vue","掌握,熟练","Spring Boot,Django/Flask,RESTful API,Node.js,Kafka/RabbitMQ","掌握,熟练,熟练,熟练,了解",MySQL,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,1,0,0,通过
171,汪鹏,男,21,13067200784,lidu6@gmail.com,数据分析师,专科,普通高校,计算机类,无,"Python,SQL,Go","掌握,掌握,掌握",NULL,NULL,NULL,NULL,"MySQL,MongoDB","熟练,熟练",NULL,NULL,"Pandas/Numpy,Hadoop/Spark,Tableau/Power BI/FineBI","熟练,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
172,邢莉,女,22,18695073214,gangfan449@qq.com,后端开发工程师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL,Go","熟练,熟练,掌握,掌握,掌握",NULL,NULL,"Spring Boot,Django/Flask","熟练,熟练","MySQL,PostgreSQL","掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,9,0,0,不通过
173,顾东,男,35,13065578201,fanglin0432@yahoo.com,云计算工程师,本科,211高校,计算机类,英语四级,"Python,Java,JavaScript","熟练,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Ansible,Terraform","掌握,掌握,掌握,了解,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3―5年,2,4,0,不通过
174,杨亮,男,30,17818769208,weizou8@qq.com,数据分析师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","掌握,精通,掌握,熟练,精通",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB","掌握,了解,掌握",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","掌握,精通,熟练,熟练",NULL,NULL,NULL,NULL,5年以上,NULL,NULL,2,0,1,通过
175,何伟,男,21,15071785090,weifan5@163.com,数据分析师,专科,普通高校,计算机类,英语四级,"Python,JavaScript,SQL,Go","熟练,熟练,掌握,掌握",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB","熟练,熟练,掌握",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Tableau/Power BI/FineBI","掌握,了解,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
176,谭帆,男,32,18922104016,taowan81@outlook.com,前端开发工程师,专科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","掌握,熟练,掌握,熟练,了解","HTML/CSS,React/Vue,Webpack,TypeScript,Redux/Vuex","熟练,掌握,了解,熟练,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,3―5年,NULL,1,1,0,不通过
177,谢东,男,23,13317646448,yanlei8803@hotmail.com,全栈开发工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","熟练,掌握,熟练,掌握,掌握","HTML/CSS,React/Vue","掌握,熟练","Spring Boot,Django/Flask,RESTful API,Kafka/RabbitMQ","熟练,熟练,熟练,掌握",MySQL,掌握,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,5,0,0,不通过
178,张建,男,21,18975617868,lishen0023@yahoo.com,后端开发工程师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL","掌握,熟练,了解,精通",NULL,NULL,"Spring Boot,Django/Flask,RESTful API,Node.js","熟练,精通,了解,熟练",MySQL,了解,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
179,邓洋,男,23,13053766608,leixie@gmail.com,移动开发工程师,本科,普通高校,计算机类,英语四级,"Python,Go","熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Android (Kotlin),React Native/Flutter","掌握,熟练",NULL,NULL,1―3年,NULL,NULL,9,0,0,通过
180,彭桂珍,女,25,15749207492,ganghe999@hotmail.com,移动开发工程师,本科,普通高校,非计算机类,英语四级,"Python,JavaScript,Go","精通,了解,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Android (Kotlin),iOS (Swift),React Native/Flutter","熟练,掌握,精通",NULL,NULL,3―5年,1―3年,NULL,1,1,0,通过
181,何文,男,33,18508269582,juanduan418@126.com,数据工程师,本科,普通高校,计算机类,英语六级,"Java,SQL","精通,掌握",NULL,NULL,NULL,NULL,"MySQL,MongoDB","熟练,熟练",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","熟练,掌握,精通,熟练",NULL,NULL,NULL,NULL,5年以上,3―5年,NULL,3,0,0,通过
182,郑强,男,21,13516809414,jiexue1507@126.com,算法工程师,专科,普通高校,计算机类,无,Java,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","了解,掌握,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
183,吴鑫,男,23,13719206136,juanli8@hotmail.com,数据分析师,本科,普通高校,计算机类,英语四级,"Java,SQL,Go","掌握,掌握,掌握",NULL,NULL,NULL,NULL,"MySQL,MongoDB,Redis","精通,精通,精通",NULL,NULL,"Pandas/Numpy,Tableau/Power BI/FineBI","掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
184,赵林,男,23,18470673682,juanxia@163.com,前端开发工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL","熟练,掌握,熟练,了解","HTML/CSS,React/Vue,Webpack,TypeScript,Redux/Vuex","熟练,掌握,了解,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,11,0,0,不通过
185,周璐,女,21,18098811457,xiayi8707@gmail.com,测试工程师,专科,普通高校,计算机类,英语四级,Python,精通,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JMeter,Postman","熟练,掌握,了解",NULL,NULL,NULL,0,0,0,不通过
186,刘帅,男,35,15128946338,xiazhao1562@163.com,运维工程师,专科,普通高校,计算机类,无,Python,精通,NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Terraform","掌握,掌握,熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,3―5年,8,4,2,通过
187,孙涛,男,23,15167500942,lihou@163.com,测试工程师,本科,普通高校,非计算机类,英语四级,"Python,Java,JavaScript,SQL","掌握,熟练,精通,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter","熟练,掌握,掌握",1―3年,NULL,NULL,8,0,0,不通过
188,傅婷,女,23,13755130557,mingwu@outlook.com,数据分析师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","熟练,了解,掌握,掌握,熟练",NULL,NULL,NULL,NULL,"MySQL,MongoDB,Redis","掌握,掌握,掌握",NULL,NULL,"Pandas/Numpy,Hadoop/Spark,Tableau/Power BI/FineBI","熟练,掌握,熟练",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,15,0,0,不通过
189,任霞,女,22,13306018364,xiuyingwu238@126.com,数据分析师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","掌握,精通,精通,掌握,掌握",NULL,NULL,NULL,NULL,"MySQL,MongoDB","熟练,精通",NULL,NULL,"Pandas/Numpy,Tableau/Power BI/FineBI","熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
190,卢东,男,36,18159143882,gangfeng2@163.com,云计算工程师,本科,普通高校,计算机类,英语四级,"Python,JavaScript,Go","熟练,熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Terraform","熟练,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,NULL,12,3,0,通过
191,王艳,女,22,17778889753,naliao85@qq.com,测试工程师,本科,普通高校,非计算机类,英语四级,"Python,JavaScript,SQL,Go","掌握,熟练,掌握,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JMeter","掌握,熟练",NULL,NULL,NULL,0,0,0,不通过
192,张杰,男,25,13258733930,juncui93@126.com,后端开发工程师,本科,普通高校,计算机类,英语四级,Java,精通,NULL,NULL,"Spring Boot,Django/Flask","掌握,掌握","MySQL,PostgreSQL,Redis","掌握,了解,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3―5年,1―3年,NULL,3,1,0,不通过
193,廖杰,男,21,13427061592,juanhe387@163.com,数据工程师,专科,普通高校,非计算机类,无,"Python,JavaScript,SQL","掌握,了解,掌握",NULL,NULL,NULL,NULL,"MySQL,MongoDB,Redis","精通,掌握,熟练",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark","熟练,熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
194,雷娟,女,22,17660108018,jingcai@gmail.com,数据工程师,本科,普通高校,非计算机类,英语四级,"Python,Java,SQL","精通,熟练,精通",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB","掌握,了解,熟练",NULL,NULL,"TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","掌握,熟练,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
195,方旭,男,37,18666215918,qiangmeng2@hotmail.com,云计算工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,Go","熟练,熟练,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Terraform","熟练,精通,熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,0,0,通过
196,王雷,男,22,13642620370,mingxu7821@gmail.com,后端开发工程师,专科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","掌握,熟练,掌握,精通,了解",NULL,NULL,"Spring Boot,Django/Flask,RESTful API,Kafka/RabbitMQ","熟练,熟练,熟练,掌握","MySQL,PostgreSQL,Redis","精通,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,2,0,0,不通过
197,陈倩,女,24,18029688276,pingqin7040@outlook.com,测试工程师,本科,普通高校,计算机类,英语四级,"Python,SQL","熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JMeter","熟练,掌握",1―3年,1年以下,NULL,3,8,0,通过
198,刘云,女,22,15308934868,minxiao3906@qq.com,算法工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,Go","掌握,精通,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TensorFlow/PyTorch,Tableau/Power BI/FineBI","熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,通过
199,陈刚,男,22,15044096617,jiechang182@hotmail.com,算法工程师,专科,普通高校,计算机类,英语四级,Python,掌握,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","精通,掌握,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,不通过
200,陈明,男,25,13671603988,nayuan365@qq.com,全栈开发工程师,本科,普通高校,非计算机类,英语六级,"Python,Java,JavaScript,SQL,Go","掌握,熟练,熟练,熟练,了解","HTML/CSS,React/Vue,TypeScript","熟练,精通,熟练","Spring Boot,Django/Flask,Node.js,Kafka/RabbitMQ","熟练,熟练,熟练,掌握","PostgreSQL,MongoDB,Redis","熟练,熟练,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3―5年,NULL,1年以下,0,0,0,通过
201,冀超,男,23,18953006221,junfeng2@163.com,数据分析师,本科,普通高校,计算机类,英语四级,"Python,SQL","掌握,熟练",NULL,NULL,NULL,NULL,"MySQL,MongoDB,Redis","熟练,熟练,熟练",NULL,NULL,"Pandas/Numpy,Hadoop/Spark,Tableau/Power BI/FineBI","精通,了解,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,不通过
202,董岩,男,23,15654006445,juanqiao75@hotmail.com,后端开发工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","了解,掌握,精通,了解,精通",NULL,NULL,"Spring Boot,Django/Flask,RESTful API,Node.js,Kafka/RabbitMQ","掌握,掌握,熟练,精通,掌握",MongoDB,掌握,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,9,0,0,不通过
203,毛霞,女,26,17678481652,guiyingfang44@hotmail.com,测试工程师,专科,普通高校,计算机类,无,"Java,SQL,Go","精通,熟练,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter,Postman","熟练,掌握,精通,精通",5年以上,NULL,NULL,12,2,0,通过
204,马飞,男,21,17870629328,xiuyingzhou0983@qq.com,测试工程师,专科,普通高校,非计算机类,无,"Python,Java,JavaScript,SQL,Go","熟练,熟练,精通,熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter,Postman","掌握,掌握,熟练,了解",NULL,NULL,NULL,0,0,0,不通过
205,杜欣,女,21,18596715006,xiadu664@gmail.com,测试工程师,专科,普通高校,非计算机类,英语四级,"Python,Java,JavaScript,Go","了解,掌握,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter,Postman","精通,掌握,掌握,掌握",NULL,NULL,NULL,0,0,0,不通过
206,杨飞,男,23,15360418095,xiuyingqin1@yahoo.com,全栈开发工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL","熟练,了解,熟练,精通","HTML/CSS,React/Vue,TypeScript,Redux/Vuex","掌握,熟练,掌握,熟练","Spring Boot,Django/Flask,Node.js","熟练,掌握,熟练","MySQL,PostgreSQL,MongoDB,Redis","熟练,熟练,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,14,0,0,通过
207,鞠岩,男,21,13847282895,xiuyingqian00@gmail.com,运维工程师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL","熟练,了解,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,"Docker/Kubernetes,Linux,Ansible,Terraform","熟练,精通,了解,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
208,孙红梅,女,40,18876989365,chaolei9@163.com,数据分析师,本科,普通高校,计算机类,英语六级,"Python,SQL","掌握,熟练",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB","熟练,熟练,精通",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Tableau/Power BI/FineBI","熟练,了解,熟练",NULL,NULL,NULL,NULL,5年以上,NULL,NULL,6,4,0,通过
209,傅兵,男,22,18628055077,junliao06@163.com,算法工程师,本科,普通高校,非计算机类,英语四级,"Python,Java,JavaScript,Go","掌握,熟练,熟练,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TensorFlow/PyTorch,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
210,胡华,男,22,13002601515,weilei2@163.com,全栈开发工程师,专科,普通高校,计算机类,无,"Python,JavaScript","熟练,熟练","HTML/CSS,React/Vue,Webpack,Redux/Vuex","熟练,熟练,熟练,熟练","Spring Boot,Django/Flask","精通,掌握",MySQL,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
211,康英,女,32,13306968018,taotao774@gmail.com,前端开发工程师,本科,普通高校,非计算机类,英语四级,"Python,Java,JavaScript,SQL","了解,熟练,掌握,了解","HTML/CSS,React/Vue","精通,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,3―5年,3―5年,1,8,0,通过
212,罗璐,女,40,18105308868,xiuyinggong30@qq.com,测试工程师,本科,普通高校,计算机类,英语六级,"Python,SQL","熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JMeter","熟练,熟练",5年以上,3―5年,NULL,1,0,1,通过
213,宋冬梅,女,22,13792158189,yanzhao059@gmail.com,数据分析师,专科,普通高校,计算机类,无,"Java,JavaScript,SQL,Go","熟练,精通,熟练,精通",NULL,NULL,NULL,NULL,"MySQL,MongoDB","熟练,精通",NULL,NULL,"Pandas/Numpy,Tableau/Power BI/FineBI","熟练,熟练",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,3,0,0,通过
214,萧彬,男,22,15674328116,jingshao99@hotmail.com,数据工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","熟练,掌握,熟练,掌握,了解",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB","熟练,熟练,精通",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","了解,掌握,掌握,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
215,王斌,男,21,17783104384,yangyang@outlook.com,后端开发工程师,专科,普通高校,计算机类,无,"Java,JavaScript","精通,了解",NULL,NULL,"Spring Boot,Django/Flask,Kafka/RabbitMQ","掌握,熟练,了解","MySQL,PostgreSQL","熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
216,李东,男,21,15562585421,mingmeng8087@outlook.com,测试工程师,专科,普通高校,计算机类,英语四级,"Python,SQL,Go","精通,精通,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JMeter","掌握,精通",NULL,NULL,NULL,0,0,0,通过
217,李桂荣,女,37,15542125450,yangxie0959@163.com,云计算工程师,本科,211高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","熟练,熟练,精通,熟练,精通",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Ansible,Terraform","熟练,熟练,熟练,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,NULL,0,9,1,通过
218,李瑞,男,23,18052354268,fangwan447@gmail.com,后端开发工程师,本科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL","了解,精通,了解,精通",NULL,NULL,"Spring Boot,Django/Flask,RESTful API,Node.js","掌握,精通,了解,熟练","MySQL,PostgreSQL","熟练,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,0,0,不通过
219,谢飞,男,23,13209297352,ganggao95@yahoo.com,后端开发工程师,专科,普通高校,计算机类,英语四级,"Python,Go","熟练,了解",NULL,NULL,"Spring Boot,Django/Flask","熟练,掌握","MySQL,PostgreSQL,MongoDB","精通,了解,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,3,0,不通过
220,贺楠,男,22,18084673574,ganghuang2@qq.com,移动开发工程师,本科,211高校,计算机类,英语六级,"Java,JavaScript","精通,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Android (Kotlin),React Native/Flutter","熟练,精通",NULL,NULL,NULL,NULL,NULL,0,0,0,通过
221,韩浩,男,28,15162608463,chaokong7561@163.com,云计算工程师,本科,211高校,计算机类,英语六级,Python,熟练,NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Terraform","精通,熟练,熟练,精通",NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,NULL,9,1,0,通过
222,张秀梅,女,23,15327607598,mingqiu9786@163.com,测试工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript","精通,掌握,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter,Postman","熟练,熟练,熟练,了解",NULL,NULL,NULL,15,0,0,不通过
223,杨勇,男,23,18952963530,xiulanluo97@hotmail.com,测试工程师,本科,普通高校,计算机类,英语六级,"Python,Java,SQL","了解,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JMeter,Postman","熟练,熟练,了解",1―3年,NULL,NULL,8,0,0,不通过
224,刘军,男,21,18989413210,nali7202@gmail.com,云计算工程师,专科,普通高校,非计算机类,英语六级,Python,精通,NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Ansible,Terraform","掌握,熟练,掌握,精通,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,通过
225,刘秀英,女,23,18066311388,guiyingmeng03@163.com,测试工程师,本科,普通高校,计算机类,英语四级,"Java,JavaScript,SQL","精通,了解,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter,Postman","精通,熟练,熟练,熟练",NULL,NULL,NULL,6,0,0,通过
226,蒋杨,男,21,18665275233,naqin8@qq.com,后端开发工程师,专科,普通高校,计算机类,英语四级,"Java,SQL","熟练,熟练",NULL,NULL,"Spring Boot,Django/Flask,RESTful API,Node.js,Kafka/RabbitMQ","熟练,熟练,了解,熟练,精通","PostgreSQL,MongoDB","精通,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
227,祝秀兰,女,21,15340507648,lizheng177@163.com,前端开发工程师,专科,普通高校,计算机类,英语四级,"Python,JavaScript","掌握,掌握","HTML/CSS,React/Vue,TypeScript,Redux/Vuex","熟练,熟练,了解,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
